Site,Date,sample_depth,epi,Depth,CL_mg_L,SO4_mg_L,TDN_uMOL_L,TDN_mg_L,NO3_mg_L,TDP_mg_L,PO4_mg_L,DOC_mg_L,FI,Peak,UV_abs_254nm,SUVA,F2_UV,chla,stratification,NDVI
Albion,6/23/16,sur,1,0,0.193,4.449,NA,0.162,0.154,0.00258,0.0016,NA,NA,NA,NA,NA,NA,15.63,unstratified,0.4255
Albion,6/23/16,meta,0,3,0.225,3.940,NA,0.097,0.148,0.00249,0.0021,1.55,NA,NA,NA,NA,NA,17.64,unstratified,0.4255
Albion,6/23/16,hypo,0,12,0.209,4.045,NA,0.108,0.128,0.00216,0.0019,1.40,NA,NA,NA,NA,NA,10.86,unstratified,0.4255
Albion,7/14/16,sur,1,0,0.152,3.826,NA,0.127,0.086,0.00145,0.0013,1.47,NA,NA,NA,NA,NA,17.40,unstratified,0.4255
Albion,7/14/16,meta,0,3,0.173,4.019,NA,0.086,0.097,0.00164,0.0020,1.41,NA,NA,NA,NA,NA,8.33,unstratified,0.4255
Albion,7/14/16,hypo,0,12,0.247,3.908,NA,0.117,0.177,0.00297,0.0023,1.29,NA,NA,NA,NA,NA,22.38,unstratified,0.4255
Albion,7/28/16,sur,1,0,0.231,3.714,NA,0.081,0.016,0.00026,0.0026,1.37,NA,NA,NA,NA,NA,6.71,unstratified,0.4255
Albion,7/28/16,meta,0,3,0.152,3.919,NA,0.158,0.016,0.00026,0.0031,1.55,NA,NA,NA,NA,NA,5.43,unstratified,0.4255
Albion,7/28/16,hypo,0,12,0.125,3.810,NA,0.112,0.113,0.00190,0.0024,1.30,NA,NA,NA,NA,NA,5.22,unstratified,0.4255
Albion,8/11/16,sur,1,0,0.295,3.813,NA,0.187,0.025,0.00042,0.0015,1.62,NA,NA,NA,NA,NA,7.18,unstratified,0.4255
Albion,8/11/16,meta,0,3,0.166,3.811,NA,0.112,0.000,0.00000,0.0019,1.41,NA,NA,NA,NA,NA,7.88,unstratified,0.4255
Albion,8/11/16,hypo,0,12,0.149,3.700,NA,0.134,0.063,0.00106,0.0008,1.32,NA,NA,NA,NA,NA,2.17,unstratified,0.4255
Blue Lake,7/8/16,sur,1,0,0.106,1.497,21.788,0.305,0.803,0.00309,0.0020,0.61,1.4,462,0.0208,3.41,170301,0.52,unstratified,0.2981
