sort,Site,label,Date,sample number,sample_num,visit_number,Elevation,SA_m2,sample_depth,epi,Depth,CL_uMOL,CL_mgL,SO4_uMOL,SO4_mgL,TDN_uMOL_L,TDN_mg_L,NO3_uMOL,NO3_mg_L,TDP_uMOL,TDP_mg_L,PO4_uMOL,PO4_mg_L,DOC_mg_L,FI,Peak,UV_abs_254nm,SUVA,F2_UV,chla,Temp,stratification,watershed,max_depth,Fish,phyto_den,phyto_BV,phyto_Bvcheck,NDVI,NDVI_QAQC,apline
Mud Lake425170,Mud Lake,dis,5/27/16,0,1,one,2480,14803,sur,1,0,86.48069275,3.066,57.13000824,2.744,25.07565167,0.35122713,0.225788607,0.014,0.014,0.006599613,0.147920224,0.001527227,6.796692045,1.39,460,0.1788,2.63,161215,1.948,11.6,unstratified,Ground,3,0,1160.49,8338019.097,537935.64,0.481927593,0.548862397,sub
Mud Lake425172,Mud Lake,dis_h,5/27/16,0,1,one,2480,14803,hypo,0,2,84.36521592,2.991,57.0050884,2.738,22.04185111,0.308733596,0.016127758,0.001,0.001,0.004416802,0.243299033,0.002511981,6.820936919,1.38,466,0.1747,2.56,161215,0.9485,11.44,unstratified,Ground,3,0,1062.19,1025029.378,66130.8,0.481927593,0.548862397,sub
Mud Lake425340,Mud Lake,dis,6/13/16,1,3,two,2480,14803,sur,1,0,87.97562971,3.119,59.02462587,2.835,30.43438918,0.426285359,0.032255515,0.002,0.002,0.008640947,0.187307385,0.001933886,8.15883413,1.39,464,0.2013,2.47,170301,3.9081,18.67,partial,Ground,3,0,718.62,4440240.622,286466.56,0.481927593,0.548862397,sub
Mud Lake425342.5,Mud Lake,dis_h,6/13/16,1,3,two,2480,14803,hypo,0,2.5,85.5780893,3.034,56.77606869,2.727,29.82700028,0.417777845,NA,NA,NA,0.007934085,0.229331447,0.002367771,7.395763253,1.41,466,0.2448,3.31,170301,14.2015,14.48,partial,Ground,3,0,9661.06,NA,5385578.06,0.481927593,0.548862397,sub
Mud Lake425660,Mud Lake,dis,7/15/16,2,5,three,2480,14803,sur,1,0,95.35167119,3.380502799,61.31482299,2.945,29.13312732,0.408058974,0.048383273,0.003,0.003,0.009045086,0.326682011,0.003372883,8.515349467,1.39,464,0.2666,3.13,161216,7.9935,19.13,unstratified,Ground,3,0,1122.82,6189718.214,399335.86,0.481927593,0.548862397,sub
Mud Lake425662,Mud Lake,dis_h,7/15/16,2,5,three,2480,14803,hypo,0,2,132.8394555,4.709557217,60.44038409,2.903,30.32872132,0.424805301,0.032255515,0.002,0.002,0.008985577,0.204138874,0.002107666,8.556779818,1.38,468,0.2698,3.15,161216,5.3538,18.09,unstratified,Ground,3,0,982.02,6623355.608,427312.41,0.481927593,0.548862397,sub
Lost Lake425230,Lost Lake,sur,6/2/16,0,1,one,2983,24983,sur,1,0,10.57738414,0.375,142.0671308,6.823597944,18.12161132,0.253823973,NA,NA,NA,0.00231706,0.21254368,0.002194443,2.208209815,1.34,462,0.0607,2.75,161215,8.4768,11.48,partial,Woodland,4,1,1205.11,NA,NA,0.565029114,0.645166561,sub
Lost Lake425234.5,Lost Lake,hypo,6/2/16,0,1,one,2983,24983,hypo,0,4.5,9.505542549,0.337,126.2939614,6.066,11.75617454,0.16466521,0.580599275,0.036,0.036,0.003096422,0.184499298,0.001904894,1.950363246,1.38,462,0.0522,2.68,161215,6.2461,8.58,partial,Woodland,4,1,1237.23,6229229.194,401884.95,0.565029114,0.645166561,sub
Lost Lake425370,Lost Lake,sur,6/16/16,1,3,two,2983,24983,sur,1,0,7.192621217,0.255,119.0486105,5.718,11.23166589,0.157318575,NA,NA,NA,0.005851408,0.105542488,0.001089691,2.299018735,1.35,464,0.0582,2.53,161215,3.6742,13.06,unstratified,Woodland,4,1,1378.82,NA,NA,0.565029114,0.645166561,sub
Lost Lake425374,Lost Lake,hypo,6/16/16,1,3,two,2983,24983,hypo,0,4,6.036160551,0.214,117.7577721,5.656,12.28060713,0.17201078,NA,NA,NA,0.00538558,0.147920224,0.001527227,2.100785679,1.37,466,0.0533,2.54,161215,6.2142,12.06,unstratified,Woodland,4,1,1848.48,8766026.127,565548.94,0.565029114,0.645166561,sub
Lost Lake425650,Lost Lake,sur,7/14/16,2,5,three,2983,24983,sur,1,0,3.666826503,0.13,143.9221536,6.912696176,15.19344073,0.212809966,0.129022061,0.008,0.008,0.008222959,0.192921124,0.001991846,2.751036361,1.39,464,0.0733,2.66,161216,2.7513,16.49,unstratified,Woodland,4,1,383.93,1779673.497,114817.42,0.565029114,0.645166561,sub
Lost Lake425653,Lost Lake,hypo,7/14/16,2,5,three,2983,24983,hypo,0,3,4.202747299,0.149,132.8946172,6.383034779,11.89316701,0.166584022,0.112894304,0.007,0.007,0.008049903,0.26560523,0.002742285,2.648984223,1.38,466,0.0706,2.66,161216,2.1564,15.98,unstratified,Woodland,4,1,3556.1,1652631.305,106621.16,0.565029114,0.645166561,sub
Red Deer Lake425500,Red Deer Lake,sur,6/29/16,0,1,one,3163,61923,sur,1,0,2.369334048,0.084,37.39267303,1.796,9.950168805,0.139369029,1.725670068,0.107,0.107,0.003090558,0.13099117,0.00135244,1.368871959,1.39,462,0.0381,2.78,161215,6.0416,10.11,stratified,Red,20,1,335.5,2058648.305,132815.75,0.504869551,0.572266763,sub
Red Deer Lake425509,Red Deer Lake,hypo,6/29/16,0,1,one,3163,61923,hypo,0,9,4.005302795,0.142,35.20657578,1.691,11.2842781,0.158055498,2.790102073,0.173,0.173,0.002191267,0.099878232,0.001031209,1.37030867,1.35,462,0.0383,2.8,161215,1.8032,4.84,stratified,Red,20,1,604.55,3326888.206,214637.52,0.504869551,0.572266763,sub
Red Deer Lake425710,Red Deer Lake,sur,7/20/16,1,3,two,3163,61923,sur,1,0,3.58220743,0.127,33.76999758,1.622,9.816319682,0.137494245,1.838564372,0.114,0.114,0.004341585,0.147920224,0.001527227,1.031672366,1.36,462,0.0304,2.95,161216,1.1526,12.99,stratified,Red,20,1,163.81,1284364.454,82862.06,0.504869551,0.572266763,sub
Red Deer Lake4257110,Red Deer Lake,hypo,7/20/16,1,3,two,3163,61923,hypo,0,10,3.074492991,0.109,36.93463361,1.774,8.651689829,0.121181624,0.161277576,0.01,0.01,0.001946522,0.164819951,0.001701711,1.215493868,1.44,462,0.0362,2.98,161216,1.1897,5.32,stratified,Red,20,1,451.21,1902777.156,122759.57,0.504869551,0.572266763,sub
Red Deer Lake425850,Red Deer Lake,sur,8/3/16,2,5,three,3163,61923,sur,1,0,5.133557104,0.182,34.33213688,1.649,20.3013788,0.124620339,0.370938426,0.023,0.023,0.002191267,0.145100753,0.001498117,1.104005803,1.38,462,0.0305,2.77,161216,4.4243,13.69,stratified,Red,20,1,291.1,1010590.474,65199.26,0.504869551,0.572266763,sub
Red Deer Lake4258517,Red Deer Lake,hypo,8/3/16,2,5,three,3163,61923,hypo,0,17,3.271937495,0.116,38.55859157,1.852,9.009015588,0.284355322,2.854613103,0.177,0.177,0.00304625,0.187307385,0.001933886,1.294822055,1.48,464,0.0389,3,161216,4.4057,4.45,stratified,Red,20,1,611.6,1985655.659,128106.56,0.504869551,0.572266763,sub
Red Rock Lake425210,Red Rock Lake,dis,5/31/16,0,1,one,3200,25286,sur,1,0,10.18249513,0.361,5.038433672,0.242,24.66443587,0.345467354,NA,NA,NA,0.01321878,0.234920904,0.00242548,6.016500921,1.4,464,0.1844,3.06,161215,3.3891,10.57,unstratified,Ground,1.5,1,NA,NA,NA,0.575639385,0.656933898,sub
Red Rock Lake425211.5,Red Rock Lake,dis_h,5/31/16,0,1,one,3200,25286,hypo,0,1.5,8.941415395,0.317,5.163353515,0.248,26.98548866,0.377977644,NA,NA,NA,0.014325221,0.32114561,0.003315721,6.074755994,1.39,464,0.1833,3.02,161215,4.9343,10.49,unstratified,Ground,1.5,1,NA,NA,NA,0.575639385,0.656933898,sub
Pear Reservoir425480,Pear Reservoir,sur,6/27/16,0,1,one,3226,61783,sur,1,0,7.559303867,0.268,19.92471497,0.957,13.9307845,0.195124319,1.483753703,0.092,0.092,0.00424535,0.232126579,0.00239663,2.319522287,1.33,466,0.0957,4.12,161215,3.2065,12.35,stratified,Copeland,16,1,107.98,519901.9363,33541.99,0.468993941,0.554807982,sub
Pear Reservoir425489,Pear Reservoir,hypo,6/27/16,0,1,one,3226,61783,hypo,0,9,5.387414323,0.191,22.19409212,1.066,12.27201048,0.171890369,2.096608494,0.13,0.13,0.003819292,0.251669901,0.002598408,2.368337765,1.4,468,0.1038,4.38,161215,7.0145,5.69,stratified,Copeland,16,1,217.48,2927997.297,188902.67,0.468993941,0.554807982,sub
Pear Reservoir425690,Pear Reservoir,sur,7/18/16,1,3,two,3226,61783,sur,1,0,2.989873918,0.106,19.77897516,0.95,10.30685445,0.144365018,0.532216002,0.033,0.033,0.003090558,0.13099117,0.00135244,2.031112234,1.34,466,0.0738,3.63,161216,2.8628,13.61,stratified,Copeland,16,1,204.68,1353993.333,87354.23,0.468993941,0.554807982,sub
Pear Reservoir4256910,Pear Reservoir,hypo,7/18/16,1,3,two,3226,61783,hypo,0,10,3.666826503,0.13,22.44393181,1.078,13.47759952,0.188776693,1.451498188,0.09,0.09,0.004102055,0.181690399,0.001875893,2.295602519,1.4,464,0.1126,4.9,161216,5.8557,5.93,stratified,Copeland,16,1,236.6,1698148.634,109557.76,0.468993941,0.554807982,sub
Pear Reservoir425930,Pear Reservoir,sur,8/11/16,2,5,three,3226,61783,sur,1,0,3.610413787,0.128,18.27993704,0.878,27.54928053,0.385874508,0.225788607,0.014,0.014,0.003726179,0.119688815,0.001235747,2.774624091,1.34,464,0.0736,2.65,170111,23.2702,13.13,stratified,Copeland,16,1,400.62,1586076.239,102327.29,0.468993941,0.554807982,sub
Pear Reservoir4259310,Pear Reservoir,hypo,8/11/16,2,5,three,3226,61783,hypo,0,10,7.079795786,0.251,22.17327215,1.065,17.55695826,0.245915047,0.661238063,0.041,0.041,0.004781561,0.173258832,0.00178884,2.305497268,1.39,464,0.1246,5.41,170111,20.2008,6.2,stratified,Copeland,16,1,753.85,4759280.312,307049.73,0.468993941,0.554807982,sub
Long Lake425430,Long Lake,sur,6/22/16,0,1,one,3253,161340,sur,1,0,4.851493527,0.172,59.42020537,2.854,18.0872799,0.253343103,9.305716161,0.577,0.577,0.003960033,0.147920224,0.001527227,2.06953182,1.34,466,0.0876,4.23,161215,3.4574,6.26,unstratified,Apache,7,1,709.74,2179786.776,140631.12,0.569876239,0.665344662,sub
Long Lake425436,Long Lake,hypo,6/22/16,0,1,one,3253,161340,hypo,0,6,4.089921868,0.145,62.5015615,3.002,18.42199745,0.258031392,9.273460646,0.575,0.575,0.005081108,0.181690399,0.001875893,1.909333148,1.32,468,0.0831,4.35,161215,3.3691,4.83,unstratified,Apache,7,1,2194.29,10219626.38,659329.42,0.569876239,0.665344662,sub
Long Lake425620,Long Lake,sur,7/11/16,1,3,two,3253,161340,sur,1,0,1.777000536,0.063,58.25428683,2.798,11.09785636,0.155444345,2.80622983,0.174,0.174,0.004389913,0.147920224,0.001527227,1.10358769,1.33,466,0.0474,4.29,161215,4.3685,11.17,unstratified,Apache,7,1,702.38,3130729.278,201982.13,0.569876239,0.665344662,sub
Long Lake425626,Long Lake,hypo,7/11/16,1,3,two,3253,161340,hypo,0,6,2.200095902,0.078,58.75396621,2.822,12.06708282,0.169020009,3.322318075,0.206,0.206,0.005488156,0.248880418,0.002569607,1.139050055,1.35,464,0.0465,4.08,161216,6.9711,9.99,unstratified,Apache,7,1,2736.35,8448991.173,545095.11,0.569876239,0.665344662,sub
Long Lake425870,Long Lake,sur,8/5/16,2,5,three,3253,161340,sur,1,0,2.877048487,0.102,58.58740641,2.814,4.600267133,0.064434562,1.661159037,0.103,0.103,0.003135014,0.133814718,0.001381592,0.86937211,1.3,466,0.0328,3.77,170111,2.1192,12.23,unstratified,Apache,7,1,1082.26,3861686.372,249140.56,0.569876239,0.665344662,sub
