Sort,Site,Date,Cyclops Size,Cyclops count,Hesp Size,Hesp count,cop size,cop count,cop den,Pul Size,Pul Count,Chyd Size,Chydor count ,Cerio size,Cerio Count,Holo size,Holo count,clad size,clad count,clad den,fish,Elevation,SA_m2,max_depth,sample_num,liters sampled
Albion42544,Albion,6/23/16,0.64667,2549,NA,0,0.64667,2549,22.53810834,NA,0,0.52,373,1.089,242,0.8967,4,1.089,242,2.139749791,1,3345,129743.89,15,1,113.0973355
Albion42565,Albion,7/14/16,0.5369,3812,NA,0,0.5369,3812,30.33493216,NA,0,0.356,865,1.0284,2381,0.8967,107,1.0284,2381,18.94739598,1,3345,129743.89,15,2,125.6637061
Albion42579,Albion,7/28/16,0.5311,1291,NA,0,0.5311,1291,11.4149462,NA,0,0.356,1241,1.0639,4416,0.8967,1291,1.0639,4416,39.04601272,1,3345,129743.89,15,3,113.0973355
Albion42593,Albion,8/11/16,0.6409,913,NA,0,0.6409,913,8.072692393,NA,0,0.4233,71,0.89,221,0.86,199,0.89,221,1.954069024,1,3345,129743.89,15,5,113.0973355
Blue Lake42559,Blue Lake,7/8/16,NA,0,1.8092,43,1.8092,43,0.180096383,2.1775,11,NA,0,NA,0,NA,0,2.1775,11,0.046071168,0,3461,91581,42,1,238.7610417
Blue Lake42576,Blue Lake,7/25/16,NA,0,1.5193,46,1.5193,46,0.192661247,2.56,12,NA,0,NA,0,NA,0,2.56,12,0.050259456,0,3461,91581,42,3,238.7610417
Blue Lake42590,Blue Lake,8/8/16,NA,0,1.6215,39,1.6215,39,0.163343231,2.0622,13,NA,0,NA,0,NA,0,2.0622,13,0.054447744,0,3461,91581,42,5,238.7610417
Diamond Lake42551,Diamond Lake,6/30/16,0.6923,44,NA,0,0.6923,44,0.583568125,NA,14,NA,0,0.7057,7,NA,0,0.7057,21,0.27852115,1,3335,67692,7,1,75.39822369
Diamond Lake42572,Diamond Lake,7/21/16,0.5959,34,NA,0,0.5959,34,0.450939005,0.7306,16,NA,0,NA,0,NA,0,0.7306,16,0.212206591,1,3335,67692,7,3,75.39822369
Diamond Lake42583,Diamond Lake,8/1/16,0.5846,22,NA,0,0.5846,22,0.350140875,0.9214,15,0.32,1,NA,0,NA,0,0.9214,15,0.238732415,1,3335,67692,7,5,62.83185307
Forest Lake42556,Forest Lake,7/5/16,NA,0,NA,0,NA,0,0,2.08,17,NA,0,NA,0,NA,0,2.08,17,0.450939005,1,3308,30656,3,1,37.69911184
Forest Lake42580,Forest Lake,7/29/16,0.7165,51,NA,0,0.7165,51,1.352817016,NA,18,NA,0,NA,0,NA,0,NA,18,0.477464829,1,3308,30656,3,3,37.69911184
GL142558,GL1,7/7/16,0.6208,366,NA,0,0.6208,366,4.854225764,NA,0,0.5433,127,1.018,33,0.98,6,1.018,33,0.437676093,1,3425,35443.71,8,1,75.39822369
GL142572,GL1,7/21/16,0.6206,177,NA,0,0.6206,177,2.34753541,NA,0,0.532,35,1.096,14,0.84,21,1.096,14,0.185680767,1,3425,35443.71,8,2,75.39822369
GL142586,GL1,8/4/16,0.61,524,NA,0,0.61,524,6.949765848,NA,0,0.446,864,1.1337,1489,0.76,10,1.1337,1489,19.74847585,1,3425,35443.71,8,3,75.39822369
GL142600,GL1,8/18/16,0.72,93,NA,0,0.72,93,1.233450809,NA,0,0.4,203,1.1097,394,0.76,115,1.1097,394,5.225587298,1,3425,35443.71,8,5,75.39822369
GL442570,GL4,7/19/16,0.64,5,2.0116,1045,1.3258,1050,1.519206275,1.052,3,0.345,2,NA,0,NA,0,1.052,3,0.004340589,0,3550,45191.79,13,1,691.1503838
GL442577,GL4,7/26/16,NA,0,2.11,638,2.11,638,0.92309867,NA,0,0.345,1,NA,0,NA,0,NA,0,0,0,3550,45191.79,13,2,691.1503838
GL442584,GL4,8/2/16,0.68,95,2.0247,949,1.35235,1044,1.510525096,1.052,464,0.345,33,NA,0,NA,0,1.052,464,0.671344487,0,3550,45191.79,13,3,691.1503838
