Lake,date,Midge,Chaoborus (albicus) flavicans ,Bosmina longirostrus ,Diaptomus shoshone* ,Epischura sp. ,Alonella sp. ,Chydorus sp. ,Microcyclops sp. ,Daphnia longispinus ,Daphnia pulex-pulicaria ,Daphnia middendorfiana ,Daphnia (unidentifiable) ,Holopedium gibberum ,Ascomorpha sp. ,Asplanchna sp. ,Brachionus sp. ,Collotheca pelagica ,Conochiloides/Conochilus spp. ,Euchlanis sp. ,Filinia terminalis ,Gastropus sp. ,Keratella cochlearis ,Keratella serrulata ,Kellicotia longispinus ,Monostyla sp. (see Lecane) ,Notholca squamula ,Notholca folicea ,Trichocerca sp. ,Keratella hiemalis,Keratella valga,Tylotrocha monopus,ostrocod,Diaphanosoma ,Scapholeberis mucronata,Macrothrix spp,rot unknown,Mite,Ankistrodesmus cluster s...,Anthrodesmus incus cells,Anthrodesmus subalatus,Astasis,austerionella,austerionella colony,Blue segmented sticks,centric diatom,centric diatom colony,Ceratium,Chlamydomunas,Chlamydomunas 1,Chlamydomunas sp2,Chlorella,Chlorella groups,Chlorococcum,Chlorophyte with thick c...,Chorella minutissima,chromulina,chrysococcus,Chysoccus sp2,Ciliates,Cosmaraun,Cosmaraun sp1,Cosmaraun sp2,Cryptomonas ovata,cubic cluster,cyanophyte circle filame...,cyanophyte cluster large,Diatoma,dinobyron,dinobyron cell,dinobyron large,dinobyron sheath,Egulena sp1,Euglenoid,Eunotioid,filamentous cyano,fragilaria,fragilaria colony,fragilaria large,Hannaea,Hydrurus,Icecube,Large Sticks,Large Unkown Chlorophyte,Meridion circulare,Meridion circulare 2,Pediastrum,Peridinium,plagioselmis,plagioselmis sp2,plagioselmis sp3,Quadricouccus,Quadricouccus sp2,Rectangular Diatom,Sacks ,Scenedesmus acuminatus,short sticks,small dark phyto,space ship,space ship little,Sphaerocystis,sphaerozosma,Staurastrum,Staurastrum gracile,Staurodesmus,Symetrical large navicular diatom,Symetrical small navicular diatom,synedra,tabelleria,tabelleria sp1,Tetracylcus,Treubaria cells,RICHNESS,N_coordiate,W_coordinate,elevation,Treeline,,
Mud Lake,sum,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,51,39.977675,-105.509753,2480,Below,,
Lost Lake,sum,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,75,39.9496082,-105.6165114,2983,Below,,
Red Deer Lake,sum,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,46,40.1427426,-105.6100976,3163,Below,,
Pear Reservoir,sum,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,58,40.17674201,-105.6266999,3226,Below,,
Long Lake,sum,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,63,40.07235747,-105.5923462,3253,Below,,
Yankee Doodle ,sum,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,41,39.93752202,-105.653801,3267,Below,,
Jasper Lake,sum,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,54,39.9790853,-105.6628812,3296,Below,,
Forest Lake,sum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,37,39.92125673,-105.6737137,3308,Below,,
Isabelle Lake,sum,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,61,40.0693832,-105.6185272,3313,Below,,
Diamond Lake,sum,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,55,39.9927042,-105.650417,3335,Below,,gamma 
