response,elev_coef,st_error,pval,Sig
A.kpar' +1,-0.305,0.07,0.0001,significant 
B.NO3' +1,0.237,0.07,0.005,significant 
D.Conductivity' ,-0.127,0.05,0.014,significant 
E.PO4,-0.015,0.015,0.02,significant 
H.Change in rho,-0.015,0.01,0.046,significant 
J.DOC' +1,-0.103,0.05,0.049,significant 
K.Secchi,0.071,0.04,0.079,marginal
L.TDN,-1.978,1.6,0.241,not significant
M.TDP' +1,0.018,0.02,0.383,not significant
N.pH,-0.082,0.1,0.423,not significant
O.SO4'+1,-0.008,0.07,0.912,not significant
P.FI',-0.0001,0.01,0.984,not significant
