sort,Site,N_coordiate,W_coordinate,Elevation,Date of 1st survey,Date of 2nd survey,Date of 3rd survey ,geometry,index,Station_ID,Lat,Long,dist,dist_geo (m),sample,precip_1,precip_2,precip_3,chl_1,chl_2,chl_3,FI_1,FI_2,FI_3,strat_1,strat_2,strat_3,Fish,zoop_den1,zoop_den2,zoop_den3
Albion42593,Albion,40.046489,-105.604603,3345,6/23/16,7/28/16,8/11/16,POINT (40.046489 -105.604603),4,University_Camp,40.03,-105.58,0.029617473,2785.875223,hypo,0,0,0,10.86,5.22,2.17,NA,NA,NA,0.020129985,0.025756678,0.031334276,1,41.831,73.927,12.255
Blue Lake42590,Blue Lake,40.08897259,-105.6198549,3461,7/8/16,7/25/16,8/8/16,POINT (40.08897259 -105.6198549),3,Sawtooth,40.14,-105.59,0.059119469,6211.322085,hypo,5,3,13,1.5615,3.8109,2.3893,1.35,1.47,1.38,0.000585187,0.026359542,0.043229479,0,1.378,2.119,1.847
Diamond Lake42583,Diamond Lake,39.9927042,-105.650417,3335,6/30/16,7/21/16,8/1/16,POINT (39.9927042 -105.650417),4,University_Camp,40.03,-105.58,0.079683942,7300.365063,hypo,0,0,0,1.1526,1.4872,3.2224,1.31,1.41,1.44,0.020035481,0.044461274,0.007049177,1,9.669,8.913,9.342
Forest Lake42580,Forest Lake,39.92125673,-105.6737137,3308,7/5/16,NA,7/29/16,POINT (39.92125673 -105.6737137),6,Lake_Eldora,39.94,-105.59,0.085786326,7452.347405,hypo,5,NA,0,13.77,NA,4.6548,1.31,NA,1.3,0.001092841,NA,0.013117128,1,2.865,NA,28.17
GL142600,GL1,40.051064,-105.605656,3425,7/7/16,8/4/16,8/18/16,POINT (40.051064 -105.605656),4,University_Camp,40.03,-105.58,0.033195217,3203.815007,hypo,0,7,0,15.91,2.12,2.12,NA,NA,NA,0.013117128,0.020240753,0.006671385,1,9.974,38.555,16.817
GL442598,GL4,40.055311,-105.620175,3550,7/19/16,8/2/16,8/16/16,POINT (40.055311 -105.620175),4,University_Camp,40.03,-105.58,0.047483443,4433.225876,hypo,0,7,3,4.4298,6.58,6.82,NA,NA,NA,0.0342088,0.04122162,0.028030458,1,2.063,2.512,1.435
Isabelle Lake42587,Isabelle Lake,40.0693832,-105.6185272,3313,6/22/16,7/11/16,8/5/16,POINT (40.0693832 -105.6185272),4,University_Camp,40.03,-105.58,0.055094297,5470.913009,hypo,0,0,0,2.2122,15.0575,7.9006,1.37,1.36,1.4,0.000845037,0.011965091,0.000100866,0,4.126,5.938,42.043
Jasper LakeNA,Jasper Lake,39.9790853,-105.6628812,3296,6/15/16,7/6/16,NA,POINT (39.97908529999999 -105.6628812),6,Lake_Eldora,39.94,-105.59,0.082700242,7590.308109,hypo,5,2,NA,10.1499,20.7831,NA,1.33,1.49,NA,0.000123158,0.044987041,NA,1,5.551,19.755,NA
Lion Lake 242592,Lion Lake 2,40.23765451,-105.6416988,3432,7/13/16,7/27/16,8/10/16,POINT (40.23765451 -105.6416988),2,Wild_Basin,40.2,-105.6,0.056184091,5484.537355,hypo,0,0,0,3.3691,12.6719,2.4574,1.38,1.4,1.38,0.015427703,0.02317733,0.002567496,0,7.49,3.38,4.894
Long Lake 42587,Long Lake ,40.07235747,-105.5923462,3253,6/22/16,7/11/16,8/5/16,POINT (40.07235747 -105.5923462),4,University_Camp,40.03,-105.58,0.044120108,4819.73463,hypo,0,0,0,6.2461,6.9711,2.5282,1.32,1.35,1.36,0.011869075,0.009312395,0.008268249,1,12.547,7.401,24.886
Lost Lake42565,Lost Lake,39.9496082,-105.6165114,2983,6/2/16,6/16/16,7/14/16,POINT (39.94960820000001 -105.6165114),6,Lake_Eldora,39.94,-105.59,0.028198791,2504.331379,hypo,0,5,0,3.3833,6.2142,2.1564,1.38,1.37,1.38,0.022818547,0.00331662,0.050737665,1,26.44,21.327,49.365
Mud Lake42566,Mud Lake,39.977675,-105.509753,2480,5/27/16,6/13/16,7/15/16,POINT (39.977675 -105.509753),5,Niwot,40.04,-105.54,0.069276884,7386.438201,hypo,0,0,0,0.9485,14.2015,14.2015,1.38,1.41,1.38,0.000730687,0.006682952,0.029391597,0,48.105,47.786,75.068
Pear Reservoir 42593,Pear Reservoir ,40.17674201,-105.6266999,3226,6/27/16,7/18/16,8/11/16,POINT (40.17674201 -105.6266999),2,Wild_Basin,40.2,-105.6,0.035409303,3440.82716,hypo,3,0,0,7.0145,5.8557,5.8557,1.4,1.4,1.39,0.055562696,0.064268017,0.059115396,1,3.814,3.371,15.953
Red Deer Lake 42585,Red Deer Lake ,40.1427426,-105.6100976,3163,6/28/16,7/20/16,8/3/16,POINT (40.14274260000001 -105.6100976),3,Sawtooth,40.14,-105.59,0.02028387,1739.530901,hypo,0,0,2,1.8032,1.1897,1.1897,1.35,1.44,1.48,0.049625705,0.072350433,0.076243765,1,6.376,12.847,13.519
Snowbank Lake42592,Snowbank Lake,40.2402564,-105.6452849,3512,7/13/16,7/27/16,8/10/16,POINT (40.2402564 -105.6452849),2,Wild_Basin,40.2,-105.6,0.060591253,5902.466442,hypo,0,0,0,4.9343,5.497,5.497,1.35,1.35,1.39,0.003990714,0.006893201,0.000640507,0,12.084,7.064,2.981
Upper Diamond Lake42583,Upper Diamond Lake,39.98829223,-105.6612039,3460,6/30/16,7/21/16,8/1/16,POINT (39.98829223 -105.6612039),6,Lake_Eldora,39.94,-105.59,0.08603566,8109.34612,hypo,0,18,2,3.6993,3.1602,3.1602,1.34,1.39,1.37,0.008920544,0.008920544,0.019492858,0,0.053,3.088,6.748
Yankee Doodle Lake42580,Yankee Doodle ,39.93752202,-105.653801,3267,7/5/16,NA,7/29/16,POINT (39.93752202 -105.653801),6,Lake_Eldora,39.94,-105.59,0.063849103,5460.013938,hypo,5,NA,0,0.9677,10.6332,10.6332,1.41,NA,1.48,0.019592383,NA,0.038487787,1,18.871,NA,48.579
Albion42593,Albion,40.046489,-105.604603,3345,6/23/16,7/28/16,8/11/16,POINT (40.046489 -105.604603),4,University_Camp,40.03,-105.58,0.029617473,2785.875223,sur,0,0,0,15.63,6.71,7.18,NA,NA,NA,0.020129985,0.025756678,0.031334276,1,41.831,73.927,12.255
