Site,sample,visit,precip,Chl-a,FI,Strat,Fish,zoop_den
Albion,hypo,1,0,10.86,NA,0.020129985,1,41.831
Blue Lake,hypo,1,5,1.5615,1.35,0.000585187,0,1.378
Diamond Lake,hypo,1,0,1.1526,1.31,0.020035481,1,9.669
Forest Lake,hypo,1,5,13.77,1.31,0.001092841,1,2.865
GL1,hypo,1,0,15.91,NA,0.013117128,1,9.974
GL4,hypo,1,0,4.4298,NA,0.0342088,1,2.063
Isabelle Lake,hypo,1,0,2.2122,1.37,0.000845037,0,4.126
Jasper Lake,hypo,1,5,10.1499,1.33,0.000123158,1,5.551
Lion Lake 2,hypo,1,0,3.3691,1.38,0.015427703,0,7.49
Long Lake,hypo,1,0,6.2461,1.32,0.011869075,1,12.547
Lost Lake,hypo,1,0,3.3833,1.38,0.022818547,1,26.44
Mud Lake,hypo,1,0,0.9485,1.38,0.000730687,0,48.105
Pear Reservoir,hypo,1,3,7.0145,1.4,0.055562696,1,3.814
Red Deer Lake,hypo,1,0,1.8032,1.35,0.049625705,1,6.376
Snowbank Lake,hypo,1,0,4.9343,1.35,0.003990714,0,12.084
Upper Diamond Lake ,hypo,1,0,3.6993,1.34,0.008920544,0,0.053
Yankee Doodle ,hypo,1,5,0.9677,1.41,0.019592383,1,18.871
Albion,sur,1,0,15.63,NA,0.020129985,1,41.831
Blue Lake,sur,1,5,0.5205,1.4,0.000585187,0,1.378
Diamond Lake,sur,1,0,3.9507,1.34,0.020035481,1,9.669
Forest Lake,sur,1,5,5.15,1.37,0.001092841,1,2.865
GL1,sur,1,0,5.24,NA,0.013117128,1,9.974
GL4,sur,1,0,8.3326,NA,0.0342088,1,2.063
Isabelle Lake,sur,1,0,2.3981,1.36,0.000845037,0,4.126
Jasper Lake,sur,1,5,6.3019,1.35,0.000123158,1,5.551
Lion Lake 2,sur,1,0,3.4574,1.34,0.015427703,0,7.49
Long Lake,sur,1,0,8.4768,1.34,0.011869075,1,12.547
Lost Lake,sur,1,0,0.9066,1.34,0.022818547,1,26.44
Mud Lake,sur,1,0,1.948,1.32,0.000730687,0,48.105
Pear Reservoir,sur,1,3,3.2065,1.33,0.055562696,1,3.814
Red Deer Lake,sur,1,0,6.0416,1.39,0.049625705,1,6.376
Snowbank Lake,sur,1,0,3.3891,1.35,0.003990714,0,12.084
Upper Diamond Lake ,sur,1,0,5.5955,1.33,0.008920544,0,0.053
Yankee Doodle ,sur,1,5,0.4155,1.35,0.019592383,1,18.871
Albion,hypo,2,0,5.22,NA,0.025756678,1,73.927
Blue Lake,hypo,2,3,3.8109,1.47,0.026359542,0,2.119
Diamond Lake,hypo,2,0,1.4872,1.41,0.044461274,1,8.913
Forest Lake,hypo,2,NA,NA,NA,NA,1,NA
GL1,hypo,2,7,2.12,NA,0.020240753,1,38.555
GL4,hypo,2,7,6.58,NA,0.04122162,1,2.512
Isabelle Lake,hypo,2,0,15.0575,1.36,0.011965091,0,5.938
Jasper Lake,hypo,2,2,20.7831,1.49,0.044987041,1,19.755
Lion Lake 2,hypo,2,0,12.6719,1.4,0.02317733,0,3.38
Long Lake,hypo,2,0,6.9711,1.35,0.009312395,1,7.401
Lost Lake,hypo,2,5,6.2142,1.37,0.00331662,1,21.327
Mud Lake,hypo,2,0,14.2015,1.41,0.006682952,0,47.786
Pear Reservoir,hypo,2,0,5.8557,1.4,0.064268017,1,3.371
Red Deer Lake,hypo,2,0,1.1897,1.44,0.072350433,1,12.847
Snowbank Lake,hypo,2,0,5.497,1.35,0.006893201,0,7.064
Upper Diamond Lake ,hypo,2,18,3.1602,1.39,0.008920544,0,3.088
Yankee Doodle ,hypo,2,NA,10.6332,NA,NA,1,NA
Albion,sur,2,0,6.71,NA,0.025756678,1,73.927
Blue Lake,sur,2,3,3.1602,1.34,0.026359542,0,2.119
Diamond Lake,sur,2,0,1.3384,1.43,0.044461274,1,8.913
Forest Lake,sur,2,NA,8.0575,NA,NA,1,NA
GL1,sur,2,7,2.31,NA,0.020240753,1,38.555
GL4,sur,2,7,2.38,NA,0.04122162,1,2.512
Isabelle Lake,sur,2,0,2.6211,1.35,0.011965091,0,5.938
Jasper Lake,sur,2,2,3.2904,1.35,0.044987041,1,19.755
Lion Lake 2,sur,2,0,9.7871,1.32,0.02317733,0,3.38
Long Lake,sur,2,0,4.3685,1.33,0.009312395,1,7.401
Lost Lake,sur,2,5,3.6742,1.35,0.00331662,1,21.327
Mud Lake,sur,2,0,3.9081,1.39,0.006682952,0,47.786
Pear Reservoir,sur,2,0,2.8628,1.34,0.064268017,1,3.371
Red Deer Lake,sur,2,0,1.1526,1.36,0.072350433,1,12.847
Snowbank Lake,sur,2,0,4.3174,1.36,0.006893201,0,7.064
Upper Diamond Lake ,sur,2,18,1.0224,1.37,0.008920544,0,3.088
Yankee Doodle ,sur,2,NA,2.082,NA,NA,1,NA
Albion,hypo,3,0,2.17,NA,0.031334276,1,12.255
Blue Lake,hypo,3,13,2.3893,1.38,0.043229479,0,1.847
Diamond Lake,hypo,3,0,3.2224,1.44,0.007049177,1,9.342
Forest Lake,hypo,3,0,4.6548,1.3,0.013117128,1,28.17
GL1,hypo,3,0,2.12,NA,0.006671385,1,16.817
GL4,hypo,3,3,6.82,NA,0.028030458,1,1.435
Isabelle Lake,hypo,3,0,7.9006,1.4,0.000100866,0,42.043
Jasper Lake,hypo,3,NA,NA,NA,NA,1,NA
Lion Lake 2,hypo,3,0,2.4574,1.38,0.002567496,0,4.894
Long Lake,hypo,3,0,2.5282,1.36,0.008268249,1,24.886
Lost Lake,hypo,3,0,2.1564,1.38,0.050737665,1,49.365
Mud Lake,hypo,3,0,14.2015,1.38,0.029391597,0,75.068
Pear Reservoir,hypo,3,0,5.8557,1.39,0.059115396,1,15.953
Red Deer Lake,hypo,3,2,1.1897,1.48,0.076243765,1,13.519
Snowbank Lake,hypo,3,0,5.497,1.39,0.000640507,0,2.981
Upper Diamond Lake ,hypo,3,2,3.1602,1.37,0.019492858,0,6.748
Yankee Doodle ,hypo,3,0,10.6332,1.48,0.038487787,1,48.579
Albion,sur,3,0,7.18,NA,0.031334276,1,12.255
Blue Lake,sur,3,13,3.642,1.39,0.043229479,0,1.847
Diamond Lake,sur,3,0,1.7941,1.4,0.007049177,1,9.342
Forest Lake,sur,3,0,7.6485,1.46,0.013117128,1,28.17
GL1,sur,3,0,5.6,NA,0.006671385,1,16.817
GL4,sur,3,3,0.89,NA,0.028030458,1,1.435
Isabelle Lake,sur,3,0,3.1788,1.33,0.000100866,0,42.043
Jasper Lake,sur,3,NA,NA,NA,NA,1,NA
Lion Lake 2,sur,3,0,2.4276,1.41,0.002567496,0,4.894
Long Lake,sur,3,0,2.1192,1.3,0.008268249,1,24.886
Lost Lake,sur,3,0,2.7513,1.39,0.050737665,1,49.365
Mud Lake,sur,3,0,7.9935,1.39,0.029391597,0,75.068
Pear Reservoir,sur,3,0,23.2702,1.34,0.059115396,1,15.953
Red Deer Lake,sur,3,2,4.4243,1.38,0.076243765,1,13.519
Snowbank Lake,sur,3,0,2.069,1.38,0.000640507,0,2.981
Upper Diamond Lake ,sur,3,2,4.019,1.41,0.019492858,0,6.748
Yankee Doodle ,sur,3,0,7.5653,1.35,0.038487787,1,48.579
